,0
0,386308.1989303087
1,413461.4496201291
2,419419.70735610713
3,424821.64024915267
4,429612.5981654233
5,433781.92534642277
6,437349.7927456347
7,440348.7218688238
8,442817.1030055245
9,444795.5942465335
10,446330.45171129826
11,447475.0777583938
12,448421.01497709076
13,449443.8460437763
14,450738.297797517
15,452420.69378474756
16,454591.1752392614
17,457342.31678871665
18,460642.39041550364
19,464296.9678986173
20,468185.66981628817
21,472284.6327693873
22,476609.13352491293
23,481246.1570104696
24,486301.5277430494
25,491928.239400472
26,498358.9748128596
27,505840.84186471225
28,514611.2616007288
29,524525.4437840412
30,535214.0325497744
31,546359.1237584846
32,557466.9006566851
33,567896.6004345315
34,577028.408596626
35,584488.9604971894
36,590130.8351226888
37,593990.9732839133
38,596179.2585531996
39,596912.0890819995
40,596423.2507095429
41,594988.9972457095
42,592787.1378775203
43,589881.0632228502
44,586293.187202083
45,582035.0717250737
46,577192.649136189
47,571855.8531406765
48,566364.7394475568
49,561010.3062092128
50,556296.4989645778
51,552883.5198475858
52,551173.5825527689
53,551541.9209659423
54,554287.8794023092
55,559763.6400081961
56,567947.0160067751
57,578382.971015294
58,590932.7481840175
59,604941.9190653454
60,619176.5078173022
61,632469.5871356124
62,643798.389553786
63,652476.764663775
64,657860.7114214873
65,659946.9092909928
66,659335.7101992427
67,656819.6137728913
68,653256.2777361914
69,649263.4647210855
70,645138.8139518163
71,641318.2254208355
72,638025.9715895342
73,634971.6067186571
74,631908.3838548145
75,628944.910326417
76,626355.7984525802
77,624031.8012686404
78,621858.5619884995
79,619828.0536617483
80,617855.570519223
81,615650.4645124743
82,612874.7932761261
83,609396.6027585148
84,605183.7681979528
85,600276.1590428108
86,594777.980276527
87,588839.3901439125
88,582579.1332388502
89,576108.7733902743
90,569533.7900084011
91,562939.8604310981
92,556399.7977966568
93,549985.2928513442
94,543758.7882672619
95,537768.5741586861
96,532038.2175781197
97,526543.4818538568
98,521269.2994938291
99,516188.3543654282
100,511271.5884478302
101,506492.6553599819
102,501850.0339972037
103,497375.57049175416
104,493084.19014383596
105,488996.23002458643
106,485147.26323773013
107,481546.88387278264
108,478174.18896829436
109,475017.6634059825
110,472074.5976660826
111,469347.9942835463
112,466832.6931624987
113,464521.3300059983
114,462418.5258225472
115,460525.3073010181
116,458846.86603452545
117,457381.45392626285
118,456123.1882609895
119,455055.430016088
120,454159.52434559603
121,453426.0426719358
122,452831.29907081
123,452350.45070007694
124,451959.4070170519
125,451642.7052998787
126,451381.5931822954
127,451150.38284813194
128,450929.29463653715
129,450697.8347473203
130,450424.64767830336
131,450079.8897948169
132,449643.19389134506
133,449101.0173662249
134,448444.234499953
135,447674.40319446503
136,446809.4587049378
137,445873.0724184807
138,444890.623236028
139,443882.83210132626
140,442869.46716662
141,441864.27939992753
142,440881.83142890705
143,439936.21099975595
144,439038.5772210904
145,438197.43010763166
146,437419.22417066526
147,436710.4781273886
148,436072.26530681783
149,435501.39116198244
150,434991.15404940787
